actor1,actor2,orderprod,film_id,ratings,id,title, budget , revenue ,profit,genres,original_language,overview,production_companies,production_countries,USA,release_date,runtime,spoken_languages,status,tagline,popularity,vote_average,vote_count,production_companies_number,production_countries_number,spoken_languages_number
Sandra Bullock,Billy Bob Thornton,2,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Billy Bob Thornton,Joaquim de Almeida,8,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Sandra Bullock,Joaquim de Almeida,4,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Billy Bob Thornton,Anthony Mackie,6,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Sandra Bullock,Anthony Mackie,3,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Joaquim de Almeida,Anthony Mackie,12,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Vincent D'Onofrio,Matilda Anna Ingrid Lutz,4,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Vincent D'Onofrio,Johnny Galecki,12,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Vincent D'Onofrio,Alex Roe,8,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Johnny Galecki,Matilda Anna Ingrid Lutz,3,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Johnny Galecki,Alex Roe,6,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Alex Roe,Matilda Anna Ingrid Lutz,2,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Melissa McCarthy,Kristen Wiig,2,tt1289401,6.6,43074,Ghostbusters," 144,000,000 "," 229,147,509 ",85147509,Action|Fantasy|Comedy,en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Columbia Pictures,United States of America,1,14/07/2016,116,English,Released,Who You Gonna Call?,6.341922,5.3,1950,7,1,1
Melissa McCarthy,Kate McKinnon,3,tt1289401,6.6,43074,Ghostbusters," 144,000,000 "," 229,147,509 ",85147509,Action|Fantasy|Comedy,en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Columbia Pictures,United States of America,1,14/07/2016,116,English,Released,Who You Gonna Call?,6.341922,5.3,1950,7,1,1
Leslie Jones,Melissa McCarthy,4,tt1289401,6.6,43074,Ghostbusters," 144,000,000 "," 229,147,509 ",85147509,Action|Fantasy|Comedy,en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Columbia Pictures,United States of America,1,14/07/2016,116,English,Released,Who You Gonna Call?,6.341922,5.3,1950,7,1,1
Leslie Jones,Kristen Wiig,8,tt1289401,6.6,43074,Ghostbusters," 144,000,000 "," 229,147,509 ",85147509,Action|Fantasy|Comedy,en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Columbia Pictures,United States of America,1,14/07/2016,116,English,Released,Who You Gonna Call?,6.341922,5.3,1950,7,1,1
Leslie Jones,Kate McKinnon,12,tt1289401,6.6,43074,Ghostbusters," 144,000,000 "," 229,147,509 ",85147509,Action|Fantasy|Comedy,en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Columbia Pictures,United States of America,1,14/07/2016,116,English,Released,Who You Gonna Call?,6.341922,5.3,1950,7,1,1
Kate McKinnon,Kristen Wiig,6,tt1289401,6.6,43074,Ghostbusters," 144,000,000 "," 229,147,509 ",85147509,Action|Fantasy|Comedy,en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Columbia Pictures,United States of America,1,14/07/2016,116,English,Released,Who You Gonna Call?,6.341922,5.3,1950,7,1,1
Jeff Goldblum,Bill Pullman,6,tt1628841,5.2,47933,Independence Day: Resurgence," 165,000,000 "," 389,681,935 ",224681935,Action|Adventure|Science Fiction,en,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",Twentieth Century Fox Film Corporation,United States of America,1,22/06/2016,120,English,Released,We had twenty years to prepare. So did they.,5.883661,4.9,2340,4,1,1
Bill Pullman,Maika Monroe,12,tt1628841,5.2,47933,Independence Day: Resurgence," 165,000,000 "," 389,681,935 ",224681935,Action|Adventure|Science Fiction,en,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",Twentieth Century Fox Film Corporation,United States of America,1,22/06/2016,120,English,Released,We had twenty years to prepare. So did they.,5.883661,4.9,2340,4,1,1
Jeff Goldblum,Maika Monroe,8,tt1628841,5.2,47933,Independence Day: Resurgence," 165,000,000 "," 389,681,935 ",224681935,Action|Adventure|Science Fiction,en,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",Twentieth Century Fox Film Corporation,United States of America,1,22/06/2016,120,English,Released,We had twenty years to prepare. So did they.,5.883661,4.9,2340,4,1,1
Bill Pullman,Liam Hemsworth,3,tt1628841,5.2,47933,Independence Day: Resurgence," 165,000,000 "," 389,681,935 ",224681935,Action|Adventure|Science Fiction,en,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",Twentieth Century Fox Film Corporation,United States of America,1,22/06/2016,120,English,Released,We had twenty years to prepare. So did they.,5.883661,4.9,2340,4,1,1
Jeff Goldblum,Liam Hemsworth,2,tt1628841,5.2,47933,Independence Day: Resurgence," 165,000,000 "," 389,681,935 ",224681935,Action|Adventure|Science Fiction,en,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",Twentieth Century Fox Film Corporation,United States of America,1,22/06/2016,120,English,Released,We had twenty years to prepare. So did they.,5.883661,4.9,2340,4,1,1
Maika Monroe,Liam Hemsworth,4,tt1628841,5.2,47933,Independence Day: Resurgence," 165,000,000 "," 389,681,935 ",224681935,Action|Adventure|Science Fiction,en,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",Twentieth Century Fox Film Corporation,United States of America,1,22/06/2016,120,English,Released,We had twenty years to prepare. So did they.,5.883661,4.9,2340,4,1,1
Donnie Yen,Kris Wu,8,tt1293847,5.2,47971,xXx: Return of Xander Cage," 85,000,000 "," 346,302,504 ",261302504,Action|Adventure|Crime,en,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",Paramount Pictures,United States of America,1,13/01/2017,107,English,Released,"There are no more patriots, just rebels and tyrants.",9.224387,5.5,1298,5,1,1
Donnie Yen,Deepika Padukone,6,tt1293847,5.2,47971,xXx: Return of Xander Cage," 85,000,000 "," 346,302,504 ",261302504,Action|Adventure|Crime,en,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",Paramount Pictures,United States of America,1,13/01/2017,107,English,Released,"There are no more patriots, just rebels and tyrants.",9.224387,5.5,1298,5,1,1
Vin Diesel,Donnie Yen,2,tt1293847,5.2,47971,xXx: Return of Xander Cage," 85,000,000 "," 346,302,504 ",261302504,Action|Adventure|Crime,en,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",Paramount Pictures,United States of America,1,13/01/2017,107,English,Released,"There are no more patriots, just rebels and tyrants.",9.224387,5.5,1298,5,1,1
Vin Diesel,Kris Wu,4,tt1293847,5.2,47971,xXx: Return of Xander Cage," 85,000,000 "," 346,302,504 ",261302504,Action|Adventure|Crime,en,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",Paramount Pictures,United States of America,1,13/01/2017,107,English,Released,"There are no more patriots, just rebels and tyrants.",9.224387,5.5,1298,5,1,1
Vin Diesel,Deepika Padukone,3,tt1293847,5.2,47971,xXx: Return of Xander Cage," 85,000,000 "," 346,302,504 ",261302504,Action|Adventure|Crime,en,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",Paramount Pictures,United States of America,1,13/01/2017,107,English,Released,"There are no more patriots, just rebels and tyrants.",9.224387,5.5,1298,5,1,1
Deepika Padukone,Kris Wu,12,tt1293847,5.2,47971,xXx: Return of Xander Cage," 85,000,000 "," 346,302,504 ",261302504,Action|Adventure|Crime,en,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",Paramount Pictures,United States of America,1,13/01/2017,107,English,Released,"There are no more patriots, just rebels and tyrants.",9.224387,5.5,1298,5,1,1
Sam Riley,Jack Huston,6,tt1374989,5.8,58431,Pride and Prejudice and Zombies," 28,000,000 "," 16,374,328 ",-11625672,Romance|Horror|Comedy|Thriller,en,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",Lionsgate,United States of America,1,4/2/2016,108,English,Released,Bloody lovely.,1.949455,5.5,578,6,1,1
Sam Riley,Lily James,2,tt1374989,5.8,58431,Pride and Prejudice and Zombies," 28,000,000 "," 16,374,328 ",-11625672,Romance|Horror|Comedy|Thriller,en,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",Lionsgate,United States of America,1,4/2/2016,108,English,Released,Bloody lovely.,1.949455,5.5,578,6,1,1
Sam Riley,Bella Heathcote,8,tt1374989,5.8,58431,Pride and Prejudice and Zombies," 28,000,000 "," 16,374,328 ",-11625672,Romance|Horror|Comedy|Thriller,en,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",Lionsgate,United States of America,1,4/2/2016,108,English,Released,Bloody lovely.,1.949455,5.5,578,6,1,1
Jack Huston,Lily James,3,tt1374989,5.8,58431,Pride and Prejudice and Zombies," 28,000,000 "," 16,374,328 ",-11625672,Romance|Horror|Comedy|Thriller,en,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",Lionsgate,United States of America,1,4/2/2016,108,English,Released,Bloody lovely.,1.949455,5.5,578,6,1,1
Jack Huston,Bella Heathcote,12,tt1374989,5.8,58431,Pride and Prejudice and Zombies," 28,000,000 "," 16,374,328 ",-11625672,Romance|Horror|Comedy|Thriller,en,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",Lionsgate,United States of America,1,4/2/2016,108,English,Released,Bloody lovely.,1.949455,5.5,578,6,1,1
Bella Heathcote,Lily James,4,tt1374989,5.8,58431,Pride and Prejudice and Zombies," 28,000,000 "," 16,374,328 ",-11625672,Romance|Horror|Comedy|Thriller,en,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",Lionsgate,United States of America,1,4/2/2016,108,English,Released,Bloody lovely.,1.949455,5.5,578,6,1,1
Liam Neeson,Tadanobu Asano,12,tt0490215,7.2,68730,Silence," 46,000,000 "," 5,501,662 ",-40498338,Drama|History,en,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",CatchPlay,Mexico,0,22/12/2016,161,日本語,Released,Sometimes silence is the deadliest sound,5.818508,7,609,7,3,2
Liam Neeson,Adam Driver,6,tt0490215,7.2,68730,Silence," 46,000,000 "," 5,501,662 ",-40498338,Drama|History,en,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",CatchPlay,Mexico,0,22/12/2016,161,日本語,Released,Sometimes silence is the deadliest sound,5.818508,7,609,7,3,2
Liam Neeson,Andrew Garfield,3,tt0490215,7.2,68730,Silence," 46,000,000 "," 5,501,662 ",-40498338,Drama|History,en,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",CatchPlay,Mexico,0,22/12/2016,161,日本語,Released,Sometimes silence is the deadliest sound,5.818508,7,609,7,3,2
Tadanobu Asano,Adam Driver,8,tt0490215,7.2,68730,Silence," 46,000,000 "," 5,501,662 ",-40498338,Drama|History,en,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",CatchPlay,Mexico,0,22/12/2016,161,日本語,Released,Sometimes silence is the deadliest sound,5.818508,7,609,7,3,2
Tadanobu Asano,Andrew Garfield,4,tt0490215,7.2,68730,Silence," 46,000,000 "," 5,501,662 ",-40498338,Drama|History,en,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",CatchPlay,Mexico,0,22/12/2016,161,日本語,Released,Sometimes silence is the deadliest sound,5.818508,7,609,7,3,2
Andrew Garfield,Adam Driver,2,tt0490215,7.2,68730,Silence," 46,000,000 "," 5,501,662 ",-40498338,Drama|History,en,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",CatchPlay,Mexico,0,22/12/2016,161,日本語,Released,Sometimes silence is the deadliest sound,5.818508,7,609,7,3,2
Ben Foster,Paula Patton,6,tt0803096,6.8,68735,Warcraft," 160,000,000 "," 433,677,183 ",273677183,Action|Adventure|Fantasy,en,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",Universal Pictures,Canada,0,25/05/2016,123,English,Released,Two worlds. One home.,7.183414,6.3,2075,4,4,1
Ben Foster,Travis Fimmel,3,tt0803096,6.8,68735,Warcraft," 160,000,000 "," 433,677,183 ",273677183,Action|Adventure|Fantasy,en,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",Universal Pictures,Canada,0,25/05/2016,123,English,Released,Two worlds. One home.,7.183414,6.3,2075,4,4,1
Ben Foster,Dominic Cooper,12,tt0803096,6.8,68735,Warcraft," 160,000,000 "," 433,677,183 ",273677183,Action|Adventure|Fantasy,en,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",Universal Pictures,Canada,0,25/05/2016,123,English,Released,Two worlds. One home.,7.183414,6.3,2075,4,4,1
Travis Fimmel,Paula Patton,2,tt0803096,6.8,68735,Warcraft," 160,000,000 "," 433,677,183 ",273677183,Action|Adventure|Fantasy,en,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",Universal Pictures,Canada,0,25/05/2016,123,English,Released,Two worlds. One home.,7.183414,6.3,2075,4,4,1
Dominic Cooper,Paula Patton,8,tt0803096,6.8,68735,Warcraft," 160,000,000 "," 433,677,183 ",273677183,Action|Adventure|Fantasy,en,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",Universal Pictures,Canada,0,25/05/2016,123,English,Released,Two worlds. One home.,7.183414,6.3,2075,4,4,1
Dominic Cooper,Travis Fimmel,4,tt0803096,6.8,68735,Warcraft," 160,000,000 "," 433,677,183 ",273677183,Action|Adventure|Fantasy,en,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",Universal Pictures,Canada,0,25/05/2016,123,English,Released,Two worlds. One home.,7.183414,6.3,2075,4,4,1
Charlize Theron,Nicholas Hoult,6,tt1392190,8.1,76341,Mad Max: Fury Road," 150,000,000 "," 378,858,340 ",228858340,Action|Adventure|Science Fiction|Thriller,en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",Village Roadshow Pictures,Australia,0,13/05/2015,120,English,Released,What a Lovely Day.,31.49509,7.2,8760,3,2,1
Charlize Theron,Zoë Kravitz,8,tt1392190,8.1,76341,Mad Max: Fury Road," 150,000,000 "," 378,858,340 ",228858340,Action|Adventure|Science Fiction|Thriller,en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",Village Roadshow Pictures,Australia,0,13/05/2015,120,English,Released,What a Lovely Day.,31.49509,7.2,8760,3,2,1
Charlize Theron,Tom Hardy,2,tt1392190,8.1,76341,Mad Max: Fury Road," 150,000,000 "," 378,858,340 ",228858340,Action|Adventure|Science Fiction|Thriller,en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",Village Roadshow Pictures,Australia,0,13/05/2015,120,English,Released,What a Lovely Day.,31.49509,7.2,8760,3,2,1
Nicholas Hoult,Zoë Kravitz,12,tt1392190,8.1,76341,Mad Max: Fury Road," 150,000,000 "," 378,858,340 ",228858340,Action|Adventure|Science Fiction|Thriller,en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",Village Roadshow Pictures,Australia,0,13/05/2015,120,English,Released,What a Lovely Day.,31.49509,7.2,8760,3,2,1
Tom Hardy,Nicholas Hoult,3,tt1392190,8.1,76341,Mad Max: Fury Road," 150,000,000 "," 378,858,340 ",228858340,Action|Adventure|Science Fiction|Thriller,en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",Village Roadshow Pictures,Australia,0,13/05/2015,120,English,Released,What a Lovely Day.,31.49509,7.2,8760,3,2,1
